Date,Open,High,Low,Close,chance_price,percent_change,Volume
2023-04-17,28124.75,28561.17,27882.29,28561.17,550,0.02,7112500
2023-04-14,29288.53,29482.49,28027.77,28027.77,-1300,-0.04,10775000
2023-04-13,29676.46,30015.9,29288.53,29288.53,-500,-0.02,4157900
2023-04-12,29482.49,30015.9,29191.55,29773.44,300,0.01,5451200
2023-04-11,29288.53,29482.49,28706.64,29482.49,200,0.01,7344100
2023-04-10,28755.13,29870.42,28706.64,29288.53,650,0.02,11709100
2023-04-07,28755.13,28803.62,28512.68,28658.15,-50,0,5159200
2023-04-06,28464.19,29288.53,28464.19,28706.64,100,0,8106400
2023-04-05,28512.68,28706.64,28318.71,28609.66,0,0,5029800
2023-04-04,28415.69,28609.66,28173.24,28609.66,200,0.01,10507300
2023-04-03,28124.75,28464.19,27833.8,28415.69,950,0.03,15664200
2023-03-31,26960.97,27542.86,26960.97,27494.37,650,0.02,11350300
2023-03-30,27494.37,27639.84,26863.98,26863.98,-300,-0.01,5363333
2023-03-29,26718.51,27445.88,26670.02,27154.93,450,0.02,6627400
2023-03-28,25894.16,26863.98,25894.16,26718.51,1050,0.04,9620000
2023-03-27,25651.71,25894.16,25554.73,25700.2,50,0,2130100
2023-03-24,25603.22,25894.16,25506.24,25651.71,250,0.01,5385840
2023-03-23,25409.26,25554.73,25069.82,25409.26,0,0,3519000
2023-03-22,25651.71,25797.18,25409.26,25409.26,-150,-0.01,9947600
2023-03-21,25700.2,25797.18,25312.27,25554.73,100,0,6702200
2023-03-20,25700.2,25797.18,25457.75,25457.75,-400,-0.02,14354800
2023-03-17,25991.15,26282.09,25797.18,25845.67,-100,0,4064800
2023-03-16,26088.13,26136.62,25554.73,25942.66,-450,-0.02,8230600
2023-03-15,25991.15,26573.04,25991.15,26379.07,900,0.03,4767800
2023-03-14,25845.67,25942.66,25506.24,25506.24,-450,-0.02,4041500
2023-03-13,25748.69,26136.62,25748.69,25942.66,-400,-0.01,44346900
2023-03-10,26670.02,26767,26185.11,26330.58,-650,-0.02,2129800
